slug,country,ymyl,professionalReviewer,editorialState,decision
"calculadora-calorias-quemadas-tareas-domesticas","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-diarias-tdee","AR","MODERATE","","automated_tested","KEEP"
"calculadora-calorias-quemadas-yoga-pilates","AR","MODERATE","","automated_tested","KEEP"
"calculadora-canasta-basica-hogar-inec-gasto-mensual","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cancelacion-anticipada-prestamo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-capacidad-credito-hipotecario","AR","MODERATE","","automated_tested","KEEP"
"calculadora-capacidad-endeudamiento","AR","MODERATE","","automated_tested","KEEP"
"calculadora-carbohidratos-durante-ejercicio","AR","MODERATE","","automated_tested","KEEP"
"calculadora-castracion-edad-ideal-perro-gato","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cedear-precio-teorico-ratio-conversion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cedear-dividend-yield-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cedear-ratio-conversion-dolares","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cedears-ratio-conversion-apple-microsoft","AR","MODERATE","","automated_tested","KEEP"
"calculadora-certificado-antecedentes-penales-costo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-certificado-libre-deuda-auto-costo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-liquidacion-cesantias-colombia-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cft-prestamo-personal-comparativa","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ciclo-menstrual","AR","MODERATE","","automated_tested","KEEP"
"calculadora-ciclo-sueno-rem-no-rem-90min","AR","MODERATE","","automated_tested","KEEP"
"calculadora-indice-cintura-altura-whtr-riesgo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-color-cabello-tono-piel","AR","MODERATE","","draft","MERGE_301"
"calculadora-comida-cachorro-gramos-edad","AR","MODERATE","","automated_tested","KEEP"
"calculadora-comision-inmobiliaria-alquiler-caba-pba","AR","MODERATE","","automated_tested","KEEP"
"calculadora-comparador-prestamos","AR","MODERATE","","automated_tested","KEEP"
"calculadora-comparar-dos-inversiones-rendimiento","AR","MODERATE","","automated_tested","KEEP"
"calculadora-conejo-comida-heno-peso-edad","AR","MODERATE","","draft","MERGE_301"
"calculadora-contrato-alquiler-2-anios-vs-3-anios","AR","MODERATE","","automated_tested","KEEP"
"calculadora-conversion-colesterol-mg-mmol","AR","MODERATE","","automated_tested","KEEP"
"calculadora-conversion-tna-tem-tea","AR","MODERATE","","automated_tested","KEEP"
"conversor-moneda-dolar-peso-real-latam","AR","MODERATE","","automated_tested","KEEP"
"calculadora-copom-tasa-referencia-banco-central-impacto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-envio-compra-exterior","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-escritura-inmueble-porcentaje-valor","AR","MODERATE","","draft","MERGE_301"
"calculadora-costo-fiesta-cumpleanos-infantil-invitados","AR","MODERATE","","draft","MERGE_301"
"calculadora-costo-financiero-total-cft","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-fiv-argentina","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-laboral-total-empleador-cargas","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-mensual-mascota-perro-gato","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-real-cuotas-vs-contado","AR","MODERATE","","draft","DRAFT"
"calculadora-costo-salida-cancha-argentina","AR","MODERATE","","draft","DRAFT"
"calculadora-costo-gas-fee-ethereum-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-costo-veterinario-consulta-promedio","AR","MODERATE","","automated_tested","KEEP"
"calculadora-creatina-dosis-carga-mantenimiento","AR","HIGH","","draft","DRAFT"
"calculadora-credito-universitario-progresar-monto-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-credito-uva-cuota-actual","AR","MODERATE","","automated_tested","KEEP"
"calculadora-credito-uva-vs-tasa-fija","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cts-peru-compensacion-tiempo-servicios-2026","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuanto-tengo-que-facturar-para-ganar-x-neto","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuanto-necesito-ganar-para-mantener-una-familia","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuarta-categoria-empleado-empresa-argentina","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuota-alimentaria-estimacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuota-alimentos-porcentaje-sueldo-hijo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuota-credito-hipotecario-uva-banco-nacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuota-maxima-segun-ingreso","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuota-sindical-descuento-sueldo","AR","MODERATE","","draft","MERGE_301"
"calculadora-cuotas-sin-interes-costo-real-inflacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-cuotas-sin-interes-precio","AR","MODERATE","","automated_tested","KEEP"
"calculadora-deduccion-alquiler-ganancias-40-porciento","AR","MODERATE","","draft","MERGE_301"
"calculadora-deduccion-familia-conyuge-hijo-ganancias","AR","MODERATE","","draft","MERGE_301"
"calculadora-deduccion-prepaga-medicina-ganancias","AR","MODERATE","","automated_tested","KEEP"
"calculadora-deficit-calorico-perder-peso","AR","MODERATE","","automated_tested","KEEP"
"calculadora-depositos-alquiler-cuantos-meses-devolucion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-desalojo-causa-plazos-honorarios-juicio","AR","MODERATE","","automated_tested","KEEP"
"calculadora-desarrollo-motor-bebe","AR","MODERATE","","automated_tested","KEEP"
"calculadora-descanso-post-maraton-regla-1-dia-km","AR","MODERATE","","draft","MERGE_301"
"calculadora-descanso-entre-series-gimnasio","AR","MODERATE","","automated_tested","KEEP"
"calculadora-descenso-futbol-argentino-promedios","AR","MODERATE","","automated_tested","KEEP"
"calculadora-deuda-avalancha-vs-bola-nieve-comparar","AR","MODERATE","","draft","MERGE_301"
"calculadora-deuda-bola-nieve","AR","MODERATE","","automated_tested","KEEP"
"calculadora-deuda-tarjeta-pago-minimo-meses","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dias-minimos-test-embarazo-positivo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dias-vacaciones-ganadas-antiguedad-lct","AR","MODERATE","","draft","MERGE_301"
"calculadora-dientes-bebe-cronologia","AR","MODERATE","","draft","MERGE_301"
"calculadora-distancia-recorrida-futbol-jugador","AR","MODERATE","","automated_tested","KEEP"
"calculadora-diversificacion-portafolio-correlacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-divorcio-express-costo-argentina-honorarios","AR","MODERATE","","automated_tested","KEEP"
"calculadora-divorcio-liquidacion-bienes-gananciales-costo","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dni-extranjero-residencia-costo-migraciones","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dni-pasaporte-costo-tramite-argentina","AR","MODERATE","","automated_tested","KEEP"
"conversor-dolar-argentina","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dolar-blue-vs-oficial-brecha","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dolar-mep-paso-a-paso-costo-operacion","AR","MODERATE","","automated_tested","KEEP"
"calculadora-dosis-antiparasitario-perro-gato-peso","AR","HIGH","","draft","DRAFT"
"calculadora-dosis-antipulgas-peso-mascota","AR","HIGH","","draft","DRAFT"
