url,query,country,cluster,clicks,impressions,ctr,average_position,action,priority,confidence,reason,data_status
https://hacecuentas.com/co/calculadora-empleada-domestica-dias-colombia-2026,,CO,savings,39,552,0.0707,5.00,OPTIMIZE_TITLE,68,80,"pos 5.0, CTR 7.1% < esperado 10%, ~16 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-impuesto-cheque-debitos-creditos,,AR,taxes,30,440,0.0682,4.65,OPTIMIZE_TITLE,68,80,"pos 4.7, CTR 6.8% < esperado 10%, ~14 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-conversion-uvt-uvr-colombia-actualizacion-2026,,CO,mathematics,3,298,0.0101,7.00,OPTIMIZE_TITLE,68,80,"pos 7.0, CTR 1.0% < esperado 5%, ~12 clicks potenciales",AVAILABLE
https://hacecuentas.com/mx/calculadora-uma-conversion-mexico,,MX,taxes,2,281,0.0071,8.00,OPTIMIZE_TITLE,68,80,"pos 8.0, CTR 0.7% < esperado 5%, ~12 clicks potenciales",AVAILABLE
https://hacecuentas.com/salario-minimo-vital-movil-argentina,,AR,salary,1,234,0.0043,7.38,OPTIMIZE_TITLE,68,80,"pos 7.4, CTR 0.4% < esperado 5%, ~11 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-frecuencia-respiratoria-normal,,,other,0,201,0,6.82,OPTIMIZE_TITLE,68,80,"pos 6.8, CTR 0.0% < esperado 5%, ~10 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-biodegradacion-tiempo-materiales,,AR,food,9,177,0.0508,5.00,KEEP,68,60,"pos 5.0, 177 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-edad-exacta,,AR,utilities,0,174,0,6.55,KEEP,68,60,"pos 6.6, 174 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/cuanto-falta-para-Navidad-2026,,,other,2,61,0.0328,4.00,KEEP,68,60,"pos 4.0, 61 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/datos-ganancias-2026,,,other,23,788,0.0292,6.00,OPTIMIZE_TITLE,67,80,"pos 6.0, CTR 2.9% < esperado 5%, ~16 clicks potenciales",AVAILABLE
https://hacecuentas.com/mx/calculadora-recargos-actualizacion-sat-mexico-2026,,MX,taxes,24,779,0.0308,6.00,OPTIMIZE_TITLE,67,80,"pos 6.0, CTR 3.1% < esperado 5%, ~15 clicks potenciales",AVAILABLE
https://hacecuentas.com/ec/calculadora-jubilacion-iess-ecuador,,EC,retirement,17,638,0.0266,6.00,OPTIMIZE_TITLE,67,80,"pos 6.0, CTR 2.7% < esperado 5%, ~15 clicks potenciales",AVAILABLE
https://hacecuentas.com/co/calculadora-aporte-fondo-solidaridad-pension-fsp-colombia,,CO,retirement,9,456,0.0197,6.00,OPTIMIZE_TITLE,67,80,"pos 6.0, CTR 2.0% < esperado 5%, ~14 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-depreciacion-activos-linea-recta,,AR,business,8,400,0.02,5.79,OPTIMIZE_TITLE,67,80,"pos 5.8, CTR 2.0% < esperado 5%, ~12 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-riesgo-caida-adulto-mayor-escala,,,other,1,183,0.0055,7.00,KEEP,67,60,"pos 7.0, 183 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-valuacion-fiscal-automotor-buenos-aires,,,other,0,135,0,7.20,KEEP,67,60,"pos 7.2, 135 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-aguinaldo-mexico-2026,,AR,employment_termination,0,126,0,8.00,KEEP,67,60,"pos 8.0, 126 impr — sin acción prioritaria",AVAILABLE
https://hacecuentas.com/calculadora-interes-judicial-tasa,,AR,taxes,130,1774,0.0733,5.09,OPTIMIZE_INTERNAL_LINKS,66,70,top-10 sin bloque de relacionados fuerte,AVAILABLE
https://hacecuentas.com/mx/calculadora-impuesto-cedular-arrendamiento-mexico,,MX,taxes,36,966,0.0373,6.33,OPTIMIZE_TITLE,66,80,"pos 6.3, CTR 3.7% < esperado 5%, ~12 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-cuando-son-las-proximas-elecciones-por-pais,,AR,utilities,11,422,0.0261,6.00,OPTIMIZE_TITLE,66,80,"pos 6.0, CTR 2.6% < esperado 5%, ~10 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-palabras-por-pagina-trabajo,,AR,education,5,286,0.0175,6.00,OPTIMIZE_TITLE,66,80,"pos 6.0, CTR 1.8% < esperado 5%, ~9 clicks potenciales",AVAILABLE
https://hacecuentas.com/calculadora-porciones-torta-tamano-molde,,AR,food,18,271,0.0664,4.30,OPTIMIZE_TITLE,66,80,"pos 4.3, CTR 6.6% < esperado 10%, ~9 clicks potenciales",AVAILABLE
