query,url,country,device,date_range,clicks,impressions,ctr,average_position,sessions,engaged_sessions,source_file
,https://hacecuentas.com/datos-topes-sipa-2026,AR,,28d-to-2026-07-02,17,668,0.0254,4.232,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/py/salario-minimo-paraguay-2026,PY,,28d-to-2026-07-02,14,656,0.0213,4,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-peso-ideal-ninos,AR,,28d-to-2026-07-02,11,655,0.0168,6.5481,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-combustible-viaje-auto,AR,,28d-to-2026-07-02,72,649,0.1109,4.1202,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-jubilacion-iess-ecuador,EC,,28d-to-2026-07-02,17,638,0.0266,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-recibo-luz-codensa-epm-colombia-estrato,CO,,28d-to-2026-07-02,55,622,0.0884,4.4887,17,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/tabla/tabla-escalas-ganancias-2026,AR,,28d-to-2026-07-02,11,618,0.0178,4.6861,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-presentismo-puntualidad,AR,,28d-to-2026-07-02,40,593,0.0675,3.7757,11,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/ec/calculadora-pension-alimenticia-ecuador,EC,,28d-to-2026-07-02,25,567,0.0441,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-actualizacion-alquiler-icl,AR,,28d-to-2026-07-02,23,559,0.0411,7,8,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-credito-infonavit-descuento,MX,,28d-to-2026-07-02,52,553,0.094,4.6474,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-empleada-domestica-dias-colombia-2026,CO,,28d-to-2026-07-02,39,552,0.0707,5,49,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-salario-integral-colombia-2026,CO,,28d-to-2026-07-02,18,549,0.0328,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-costo-peaje-ruta,AR,,28d-to-2026-07-02,42,529,0.0794,5.6238,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-vacaciones-argentina,AR,,28d-to-2026-07-02,8,522,0.0153,6.4789,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-envejecer-mascota-humano-tabla-raza-tamano,AR,,28d-to-2026-07-02,8,519,0.0154,5,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/mx/calculadora-isr-honorarios-persona-fisica,MX,,28d-to-2026-07-02,26,508,0.0512,5.6378,15,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/guia/sueldos-argentina-2026,AR,,28d-to-2026-07-02,20,504,0.0397,5.8571,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/blog/escala-ganancias-2026-argentina-tabla-completa-explicada,AR,,28d-to-2026-07-02,16,461,0.0347,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/co/calculadora-aporte-fondo-solidaridad-pension-fsp-colombia,CO,,28d-to-2026-07-02,9,456,0.0197,6,0,,data/bing-perf-latest.json (pages)
,https://hacecuentas.com/calculadora-impuesto-cheque-debitos-creditos,AR,,28d-to-2026-07-02,30,440,0.0682,4.6545,6,,data/bing-perf-latest.json (pages)
